timestamp,message
1778188893822,"{""level"":""INFO"",""location"":""extract_lambda_input:32"",""message"":""Parsed SQS message body"",""timestamp"":""2026-05-07 21:21:33,822+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188893822,"{""level"":""INFO"",""location"":""extract_lambda_input:68"",""message"":""Input extracted — identifier='ATG', control='CDR-NSS3.4.2 - App01', validator type='akamai'"",""timestamp"":""2026-05-07 21:21:33,822+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188893823,"{""level"":""INFO"",""location"":""handler:46"",""message"":""Processing validation for ATG - CDR-NSS3.4.2 - App01"",""timestamp"":""2026-05-07 21:21:33,822+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188893823,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: get_akamai_onboarding_compliance (appci=ATG)"",""timestamp"":""2026-05-07 21:21:33,823+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188898954,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:73"",""message"":""Athena query for akamai validator (id=abe86523-6523-44f6-8338-9c27e5bf2db2) executed successfully"",""timestamp"":""2026-05-07 21:21:38,954+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899140,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:142"",""message"":""Akamai onboarding & coverage compliance for ATG: FAIL"",""timestamp"":""2026-05-07 21:21:39,140+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899140,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: get_akamai_onboarding_compliance [5317.76ms] (record_count=0)"",""timestamp"":""2026-05-07 21:21:39,140+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899140,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: validate_akamai (validator_type=akamai)"",""timestamp"":""2026-05-07 21:21:39,140+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899141,"{""level"":""INFO"",""location"":""validate_akamai:29"",""message"":""Akamai validation FAILED — criteria not met"",""timestamp"":""2026-05-07 21:21:39,141+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899141,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: validate_akamai [0.17ms] (validation_result=FAIL)"",""timestamp"":""2026-05-07 21:21:39,141+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899141,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: build_result (identifier=ATG)"",""timestamp"":""2026-05-07 21:21:39,141+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899141,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: build_result [0.1ms] (result_size=750)"",""timestamp"":""2026-05-07 21:21:39,141+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899141,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: write_result (identifier=ATG)"",""timestamp"":""2026-05-07 21:21:39,141+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
